file,village,region,province,case_type,mechanism,source_pages,confidence,tags
data_cards/shuangyi.md,双一村,湖州安吉,浙江,生态文旅+民宿村咖型,市场诱发-社会自主型,20-24,high,安吉|村咖|民宿|研学|生态环境|青年入乡
data_cards/dazhuyuan.md,大竹园村,湖州安吉,浙江,农房试点+村咖民宿型,政府主导引入项目-平台运营型,25-29,high,省级农房试点|江南水乡民居|民宿|村咖|茶艺
data_cards/lujia.md,鲁家村,湖州安吉,浙江,田园综合体+整村运营型,政府主导系统重构型整村运营,30-34,high,鲁家模式|田园综合体|整村运营|家庭农场|研学
data_cards/miaoshan.md,妙山村,湖州吴兴/南浔组,浙江,文旅美学+未来乡村型,政策补贴+文旅业态+青年配套,"35,38-45,48",high,未来乡村|美术馆|文旅业态|青年就业|文创
data_cards/digang.md,荻港村,湖州南浔,浙江,水乡古村+桑基鱼塘文旅型,低门槛成本+村集体支持+地方融合,"36,38-47",high,江南水乡|桑基鱼塘|历史文化名村|咖啡|研学
data_cards/quanbu.md,荃步村,湖州南浔,浙江,文化资源+青创中心规划型,政策减负+青创平台+产业带动,37-46,medium,青创中心|报恩文化|湖羊文化|红美人|电商
data_cards/shiquan.md,石泉村,湖州长兴,浙江,政府资本双驱+文旅载体型,政府-资本双轮驱动机制,"50-54,62",high,青村合伙人|政府资本双驱|云锦乡创|创意餐饮|研学
data_cards/guzhu.md,顾渚村,湖州长兴,浙江,茶文化+民宿转型型,转型需求导向青年入乡机制,"55-59,62",high,贡茶文化|民宿改造|茶旅融合|康养|返乡青年
data_cards/fangyan.md,方岩村,湖州长兴,浙江,文化社群+非遗转化型,文化基因+能人+社群驱动,60,medium,京剧|社群治理|文化认同|非遗|社区共创
data_cards/huantaihu_road9.md,环太湖9号公路,湖州/太湖沿线,浙江/江苏,骑行公路+青年创业综合体,政策支撑+资源联网+数字运营,61,medium,骑行|环太湖|9号公路|有风集市|数字运营
data_cards/xiantan.md,仙潭村,湖州德清/莫干山,浙江,乡村美学民宿集群型,政策+资本+人才驱动,63-67,high,莫干山|乡村美学|大乐之野|精品民宿|青创基地
data_cards/laoling.md,劳岭村,湖州德清/莫干山,浙江,精品民宿+城乡融合型,政府政策+外来资本+市场驱动,68-72,high,莫干山|精品民宿|西坡|劳岭共生体|高端度假
data_cards/houwu.md,后坞村,湖州德清/莫干山,浙江,民宿+自然疗愈/数字游民型,市场驱动+政策引导+社会网络,"73-77,311",high,莫干山|数字游民|自然疗愈|民宿|社交媒体
data_cards/mogan_yujie.md,莫干庾街,湖州德清/莫干山镇,浙江,镇区青创空间+生活方式街区,青创空间+活动运营+资源对接,78,medium,莫干山|庾街|青创空间|山中青年|市集
data_cards/cenbu.md,岑卜村,上海青浦金泽,上海,近郊水乡+水上运动型,市场诱发-社会自主型,"79,81-84,311",high,上海近郊|水乡|皮划艇|骑行|一日游|年轻人
data_cards/shuiku.md,水库村,上海金山漕泾,上海,数字游民+郊野公园型,政府主导引入项目-平台运营型,"79,85-88,311",high,上海近郊|数字游民|共享办公|疗愈|郊野公园
data_cards/changqin.md,长秦村,嘉兴南湖余新镇,浙江,近郊农文旅+亲子宠物型,政府主导系统重构型整村运营,"79,89-92,311",high,嘉兴近郊|亲子|宠物友好|农文旅|青村合伙人
data_cards/taihu_yugang.md,太湖渔港村,苏州太湖沿线,江苏,湖景民宿+餐饮打卡型,景观资源+网络热度驱动,"105-108,112,312",high,太湖|湖景|民宿|餐饮|日落|机车
data_cards/chongshan.md,冲山村,苏州太湖/漫山岛,江苏,文旅项目+宠物友好餐饮型,国企/文旅项目+主理人机制,"109-112,312",high,太湖|漫山岛|宠物友好|创意餐饮|文旅项目
data_cards/shushan.md,树山村,苏州高新区/通安镇,江苏,农文旅融合+智慧乡村型,国家联盟/社会自主型+协同治理,"113-118,312",high,树山|梨花节|树山三宝|农文旅|非遗|智慧乡村
data_cards/jijiadun.md,计家墩村,苏州昆山锦溪,江苏,理想村+民宿+数字游民型,政企合作+市场化经营型,"119-125,312",high,理想村|乡伴|民宿+|宠物友好|皮划艇|数字游民
data_cards/huangdu.md,黄杜村,湖州安吉溪龙乡,浙江,白茶产业+茶旅融合型,党支部+合作社+企业+农户,126-131,high,安吉白茶|中国白茶第一村|茶旅融合|数字游民|电商
data_cards/yucun.md,余村,湖州安吉天荒坪镇,浙江,两山理论+政治资源示范型,强政府主导型,"93-98,103,314",high,两山理论|余村|生态旅游|青来集|示范村
data_cards/xiayang.md,夏阳村,湖州安吉孝丰镇,浙江,露营经济+平台合作型,强村集体驱动型,"93-99,103",medium,露营经济|小红书|品牌共创|村集体|两入股三收益
data_cards/hengshanwu.md,横山坞村,湖州安吉灵峰街道,浙江,集群民宿+合作经营型,市场资本嵌入型,"100,103-104",medium,集群民宿|小瘾半日村|合作社|专业公司|安吉
data_cards/luosifang.md,洛四房村,湖州安吉孝源街道,浙江,水经济+村集体协调型,村集体协调型,"101,103-104",medium,水经济|村集体|滨水旅游|生态农业|造梦学院
data_cards/hangnan.md,杭南村,杭州临平运河街道,浙江,城郊乡村+文化IP型,设计下乡+服务下乡+产业升级,202-228,medium,杭南村|文化IP|城郊乡村|红烧羊肉|文旅小程序
data_cards/zhouzhuang.md,周庄,江苏昆山,江苏,古镇文旅+数智路线优化型,数智下乡+社区共创,"268-282,328-331",medium,周庄|古镇|夜游|亲水|研学|个性化路线
data_cards/pujiang_digital_nomad.md,蒲江数字游民片区,成都蒲江,四川,数字游民生态+县域新村民型,数字游民生态梳理+平台载体优化,"283-300,332",medium,蒲江|数字游民|新村民|远程办公|田园生态商务区
data_cards/kangbo.md,康博村,苏州/苏南乡村,江苏,工业社区+村庄转型型,产业园区带动+公共服务集成,"151-157,315,350-351",low,康博村|产业园区|智能制造|公共服务|苏南
data_cards/luxiang.md,陆巷村,苏州太湖/东山,江苏,历史文化村落+景区旅游型,文化遗产+旅游市场驱动,"142-150,315,350-351",low,陆巷村|古村落|太湖|历史文化|景区
data_cards/sanjie.md,三界站,浙江嵊州三界,浙江,乡村实践站+运营策划型,实践站点+学校/地方协同,229-246,low,嵊州三界|实践站|运营策划|空间改造
data_cards/taishun.md,泰顺站,浙江泰顺,浙江,山区乡村实践+文旅策划型,在地调研+方案设计,"185-201,318",low,泰顺|山区乡村|文旅策划|实践站
